HandlungskompetenzId;Titel;Module Berufsfachschule;Module ÜK;Leistungsziele;Beschreibung;Fachrichtung
g1;Anforderungen an Applikationen und Schnittstellen analysieren und dokumentieren;322, 254, 426, 162, 164, 321, 346, 324;;"g1.1: Sie halten Kundenbedürfnisse in Form von fachlichen und technischen Anforderungen nach-vollziehbar und lösungsneutral fest. (K3)
g1.2: Sie entwickeln im Team Nutzermodelle anhand von Personas. (K5)
g1.3: Sie überprüfen fachliche und technische Anforderungen auf Konsistenz, Vollständigkeit und Messbarkeit. (K4)
g1.4: Sie katalogisieren Anforderungen nach branchen- oder projektspezifischen Kriterien und hal-ten diese schriftlich fest. (K4)
g1.5: Sie versehen Anforderungen mit einer eindeutigen Bezeichnung. (K3)
g1.6: Sie schätzen Zeitaufwand, Komplexität, Umfang und Priorisierung von Arbeitspaketen im Team ab. (K4)
g1.7: Sie überprüfen die Anforderungen mit relevanten Stakeholdern auf Validität. (K3)
g1.8: Sie dokumentieren fachliche und technische Anforderungen laufend nach. (K3)";"Informatikerinnen und Informatiker analysieren die im Kundengespräch eruierten Anforderungen (a1) und dokumentieren diese (requirement engineering):
In einem ersten Schritt halten sie die Kundenbedürfnisse in Form von fachlichen und technischen Anforderungen fest. Um die Perspektive der Nutzer zu vertiefen, beschreiben sie im Team sowie mit relevanten Stakeholdern die Zielgruppen sowie deren Bedürfnisse (z.B. mittels «Personas»). Dies kann in Form eines Workshops geschehen. Auf dieser Grundlage überprüfen sie die technischen Anforderungen an eine Applikation und deren Schnittstellen (z.B. UI, REST, Sensorik, Peripherie) auf Konsistenz, Vollständigkeit und Messbarkeit (Ak-zeptanzkriterien). Sie halten Informationen zu Rahmenbedingungen, Kontext, Abgrenzung, sowie Begriffsdefinitionen fest. Bei Bedarf ergänzen sie die Anforderungen.
In einem weiteren Schritt katalogisieren sie die Anforderungen, d.h. sie sortieren und gruppieren diese nach branchen- oder projektspezifischen Kriterien (z.B. funktional, nicht-funkti-onal, Qualität). Die Ergebnisse halten sie im System (z.B. backlog, issues, use cases, user stories) oder auf Papier fest und versehen sie mit einer eindeutigen Bezeichnung (Identifizie-rung).
Schliesslich schätzen sie im Team Zeitaufwand, Komplexität, Umfang und Priorisierung ab. Je nach Situation koordinieren sie das Vorgehen mit dem Projektmanager oder Productowner. In Absprache mit den Stakeholdern vergewissern sie sich, dass die definitiven Anforderungen valide sind und keine Missverständnisse vorliegen. Bei Änderungen im Laufe der Applika-tionsentwicklung führen sie die Anforderungen nach (iteratives Vorgehen).";Appli
g2;Gestaltungsentwürfe für Benutzerschnittstellen auf technische Machbarkeit überprüfen und weiterentwickeln;322, 319, 320, 293;294, 223, 335, 217;"g2.1: Sie entwickeln Gestaltungsentwürfe für Benutzerschnittstellen anhand von geeigneten grafi-schen Tools und unter Berücksichtigung von Gestaltungsrichtlinien und Vorgaben. (K5)
g2.2: Sie identifizieren problematische Teile von Benutzerschnittstellen. (K4)
g2.3: Sie entwerfen Prototypen von Benutzerschnittstellen. (K4)
g2.4: Sie überprüfen die technische Machbarkeit von Benutzerschnittstellen unter Berücksichtigung relevanter Aspekte. (K4)
g2.5: Sie besprechen mit Stakeholdern Gestaltungsentwürfe und schlagen alternative Lösungen für technisch nicht umsetzbare Teile vor. (K3)
g2.6: Sie entwickeln anhand von Prototypen funktionale Benutzerschnittstellen. (K5)";"Informatikerinnen und Informatiker überprüfen Gestaltungsentwürfe für Benutzerschnittstellen auf technische Machbarkeit und entwickeln diese im Sinne der Benutzerfreundlichkeit wei-ter:
Sie erhalten Gestaltungsrichtlinien und Vorgaben in Bezug auf Benutzerschnittstellen vom Auftraggeber oder von anderen Partnern. Auf dieser Grundlage erstellen sie funktionale Gestal-tungsentwürfe (z.B. MockUps, Grids, Wireframes). Sie setzen dabei geeignete grafische Tools ein. Je nach Situation passen sie bereits erstellte Entwürfe an.
In einem nächsten Schritt Identifizieren sie problematische Teile der Benutzerschnittstelle, z.B. voneinander abhängige Informationen oder nicht Standard-Komponenten. Die Machbarkeit der problematischen Teile überprüfen sie anhand von Prototypen, welche sie auf Papier oder anhand von Tools entwerfen. Sie berücksichtigen dabei verschiedenste Aspekte, wie z.B. den Umfang der Informationen, Abhängigkeiten von Feldern, Interaktionselemente, Navigation, Responsiveness, Gestaltungsgesetze oder Barrierefreiheit. Anschliessend besprechen sie die technisch nicht umsetzbaren Teile mit den Stakeholdern. Sie schlagen diesen Lösungen vor und überarbeiten den Gestaltungsentwurf entsprechend.
Anhand des Prototyps oder mehrerer Prototypen entwickeln sie schliesslich funktionale Benutzerschnittstellen. Sie wenden dabei aktuelle Methoden und Werkzeuge an.";Appli
g3;Sicherheit von Applikationen und Schnittstellen beurteilen und dokumentieren;183, 114, 450, 346;295, 216, 217, 107;"g3.1: Sie klären sicherheitsrelevante Fragen in Bezug auf ein Systemumfeld vorausschauend und leiten daraus mögliche Risiken ab. (K4)
g3.2: Sie beschaffen sich sicherheitsrelevante Informationen im Team oder in der Community (z.B. OWASP). (K3)
g3.3: Sie halten sicherheitsrelevante Risiken und daraus abgeleitete Massnahmen nachvollziehbar fest. (K3)
g3.4: Sie erläutern Massnahmen zur Sicherung der Applikationen und Schnittstellen im Team. (K3)
g3.5: Sie passen einen Anforderungskatalog entsprechend den Ergebnissen an und Besprechen die-sen mit dem Stakeholder. (K3)";"Informatikerinnen und Informatiker beurteilen die Sicherheit von Applikationen und Schnittstellen und dokumentieren die Ergebnisse:
Zunächst klären sie relevante sicherheitsbezogene Fragen in Bezug auf das Systemumfeld, z.B. Welche Schnittstellen bestehen? Wer sind die Benutzer der Applikation? Welche anderen Systeme greifen auf die Applikation zu? Welchen Schutzbedarf haben die Daten resp. die Applikation (Verfügbarkeit, Vertraulichkeit, Verbindlichkeit, Integrität)? Welche internen und gesetzlichen Vorgaben sind einzuhalten?
Sie leiten daraus die Risiken ab, welche auf die Applikation und deren Schnittstellen einwirken. Sie nehmen dabei eine vorausschauende Haltung ein und zeigen Gefährdungsmethoden und mögliche Manipulationen von aussen auf. Die Ergebnisse besprechen sie im Team. Sie leiten Massnahmen ab und halten diese fest (z.B. Verschlüsselung der Daten, Zugriffssicherheit, Identity-Management, Escaping). Schliesslich passen sie den Anforderungskatalog entsprechend an und besprechen diesen mit dem Stakeholder.";Appli
g4;Umsetzungsvarianten für Applikationen entwerfen und Lösung konzeptionell ausarbeiten;319, 320, 323, 164, 321,346, 306;106, 223, 335, 259, 216, 217, 210, 107;"g4.1: Sie zeigen grundlegende Umsetzungsvarianten in Bezug auf die Implementierung anhand von Skizzen und Beschreibungen auf. (K5)
g4.2: Sie erstellen in Zusammenarbeit mit dem Stakeholder eine nachvollziehbare Nutzwertanalyse mit sinnvollen, bewertbaren Entscheidungskriterien. (K4)
g4.3: Sie beraten den Stakeholder bei der Entscheidungsfindung für eine optimale, ethisch und rechtlich vertretbare Lösung. (K5)
g4.4: Sie erarbeiten ein fachliches und technisches Realisierungskonzept anhand von geeigneten Hilfsmitteln. (K5)
g4.5: Sie führen eine Machbarkeitsanalyse für die gewählte Umsetzungsvariante durch. (K4)";"Informatikerinnen und Informatiker entwerfen Umsetzungsvarianten für Applikationen und arbeiten für die ausgewählte Variante ein Realisierungskonzept aus. Sie arbeiten dabei eng mit den Stakeholdern und dem Team zusammen:
In einem ersten Schritt zeigen sie anhand von Skizzen und Beschreibungen grundlegende Varianten in Bezug auf die Implementierung auf (z.B. Technologien, Komponenten, Frameworks, Libraries, Systeme). Gemeinsam mit jeweiligen Stakeholdern erstellen sie eine nachvollziehbare Nutzwertanalyse der verschiedenen Varianten mit sinnvollen, bewertbaren Entscheidungs-kriterien. Anhand der Nutzwertanalyse beraten sie den Stakeholder bei der Entscheidungsfindung für eine optimale Lösung. Dabei achten sie darauf, dass diese auch ethisch, moralisch und rechtlich vertretbar ist. Schliesslich überprüfen sie die gewählte Variante gegebenenfalls in Form einer Machbarkeitsanalyse (→ a3).
Daraus erarbeiten sie schrittweise ein fachliches und technisches Realisierungskonzept (z.B. UseCases, Komponenten, Schichten, Ablauf, Schnittstellen, Klassen, Datenmodell). Dazu ana-lysieren sie die relevanten Daten, Abläufe, Systeme und Schnittstellen und dokumentieren die Ergebnisse. Dabei setzen sie geeignete Hilfsmittel ein, wie z.B. UML oder weitere Diagramme. Je nach Situation ist es auch möglich, dass sie für bestehende Applikationen Anpassungen entwerfen.";Appli
g5;Applikationen und Schnittstellen gemäss Entwurf implementieren und dabei die Sicherheitsanforderungen erfüllen;319, 320, 323, 293, 165, 321, 322, 183, 426, 324;106, 294, 295, 223, 335, 216,217;"g5.1: Sie richten eine geeignete Entwicklungs- und Laufzeitumgebung anhand des Realisierungs-konzepts sowie Firmenvorgaben ein. (K3)
g5.2: Sie programmieren ein Back-End mittels vorgegebener Programmiersprachen effizient, strukturiert und gemäss den relevanten Vorgaben. (K3)
g5.3: Sie programmieren ein Front-End mittels vorgegebener Programmiersprachen effizient, strukturiert und gemäss den relevanten Vorgaben. (K3)
g5.4: Sie überprüfen Zwischenergebnisse mit den Anforderungen (funktional, nicht-funktional, Sicherheit) und nehmen laufend Korrekturen vor. (K4)
g5.5: Sie überprüfen die Einhaltung von Coderichtlinien. (K3)
g5.6: Sie legen die Änderungen und Erweiterungen der Implementierung übersichtlich und zu-verlässig in einem Softwareverwaltungssystem ab. (K3)
g5.7: Sie passen ein Realisierungskonzept nachvollziehbar an. (K3)";"Auf Basis der definierten Anforderungen und ausgearbeiteten Entwürfe implementieren Informatikerinnen und Informatiker Applikationen und Schnittstellen. Es kann sich dabei sowohl um neue als auch um die Erweiterung von bestehenden Applikationen handeln:
In einem ersten Schritt richten sie eine geeignete Entwicklungs- und Laufzeitumgebung ein. Das erstellte Realisierungskonzept sowie Firmenvorgaben dienen ihnen als Grundlage.
Danach beginnen sie mit der Programmierung von Back-End und Front-End gemäss den definierten Anforderungen. Sie setzen dazu vorgegebene Programmiersprachen sowie Entwick-lungstools ein. Die Implementierung testen sie regelmässig auf Fehler und beheben diese (debuggen). Sie achten laufend darauf, dass sie regulatorische und technische Richtlinien (z.B. von Frameworks, Designvorgaben) einhalten. Ausserdem berücksichtigen sie Sicherheitsanforderungen.
Bei der Implementation achten sie darauf, die allgemein bekannten Coderichtlinien einzuhalten, um die Nachvollziehbarkeit und Verständlichkeit zu sichern (z.B. Clean Code, Coding Conventions).
Die programmierten Elemente legen sie laufend in einem Softwareverwaltungssystem (z.B. Git) ab. Sie sind in der Lage, jederzeit auf gespeicherte Zwischenstände zuzugreifen. Sie halten dabei die firmeninternen Richtlinien (z.B. Branches) ein. Abschliessend nehmen sie allfällige Anpassungen im Realisierungskonzept vor, um es aktuell zu halten.
IT-Technologien entwickeln sich rasch. Informatikerinnen und Informatiker informieren sich laufend über Neuerungen und deren Auswirkungen (z.B. welche neuen Frameworks gibt es?) und setzen die Erkenntnisse in ihrer täglichen Arbeit um.";Appli
g6;Qualität und Sicherheit von Applikationen und Schnittstellen überprüfen;183,426,450, 324, 321;295, 223, 259, 217;"g6.1: Sie beschreiben das Testumfeld einer Applikation mit allen relevanten Angaben. (K3)
g6.2: Sie definieren Testmittel anhand der ausgewählten Testarten. (K4)
g6.3: Sie beschreiben wiederholbare Testfälle in Bezug auf Anwendungsfälle und Anforderungen nachvollziehbar und definieren die erwarteten Resultate. (K4)
g6.4: Sie bauen gemäss Testkonzept eine geeignete Testumgebung auf. (K3)
g6.5: Sie implementieren die automatisierbaren Testfälle gemäss den definierten Testmitteln. (K4)
g6.6: Sie führen Testfälle umfassend und sorgfältig durch. (K3)
g6.7: Sie werten den Testlauf aus und protokollieren die Ergebnisse nachvollziehbar. (K4)
g6.8: Sie definieren Korrekturmassnahmen und führen diese durch. (K4)
g6.9: Sie überprüfen die Implementierung gemäss dem definierten Sicherheitskonzept und treffen geeignete Korrekturmassnahmen (K4).";"Informatikerinnen und Informatiker überprüfen die Qualität und Sicherheit von Applikationen und Schnittstellen anhand von Testkonzepten. Damit stellen sie sicher, dass Applikationen gemäss den Anforderungen implementiert, Fehler behoben und die Applikation für die Produktion freigegeben werden kann:
Sie erstellen in einem ersten Schritt ein Testkonzept. Darin beschreiben sie das Testumfeld der Applikation mit den relevanten Angaben (z.B. System, Akteure, Daten, Benutzer, Berechti-gungen). Weiter bestimmen sie, welche Testarten gebraucht werden (z.B. Unit Tests, Benutzerakzeptanztests, Integrationstests, Last-/ Performancetests oder Security-Tests.) Auf diesen Grundlagen definieren sie geeignete Testmittel. Danach beschreiben sie die Testfälle (Testcases) mit Bezug auf die Anwendungsfälle (Usecases) und Anforderungen. Sie berücksichtigen dabei unterschiedliche Perspektiven (z.B. Grenzwerte, Fehlersituationen). Sie stellen sicher, dass die definierten Testfälle wiederholbar sind (automatisiert oder manuell). Sie definieren die erwarteten Resultate und dokumentieren diese ebenfalls nachvollziehbar.
Falls nötig bauen sie in einem weiteren Schritt eine geeignete Testumgebung auf. Das vorgängig erstellte Testkonzept dient ihnen dabei als Grundlage. Sie implementieren, wenn möglich automatisierbare Testfälle.
Danach führen sie alle Testfälle durch, werten den Testlauf aus und protokollieren die Ergebnisse. Sie gehen dabei sorgfältig vor und formulieren das Protokoll nachvollziehbar. Bei nicht erfolgreichen Testfällen nehmen sie Korrekturmassnahmen entweder am Test oder der Implementierung vor. Nach erfolgten Korrekturen führen sie ein Retesting durch. Sie überprüfen die Implementierung gemäss dem definierten Sicherheitskonzept und treffen bei Abweichungen geeignete Massnahmen zu dessen Einhaltung.";Appli
h1;Geeignete Plattform für die Auslieferung von Applikationen bestimmen;346,347;210;"h1.1: Sie identifizieren die Abhängigkeiten zwischen verschiedenen Komponenten. (K4)
h1.2: Sie definieren eine geeignete Plattform für den Betrieb einer Applikation. (K4)
h1.3: Sie definieren ein Schichtenmodell innerhalb der Rahmenbedingungen des Stakeholders. (K4)
h1.4: Sie identifizieren die Sicherheitsanforderungen an die Plattform und wählen geeignete Ser-vices aus. (K4)
h1.5: Sie wählen die benötigten Ressourcen anhand der Empfehlung des Plattformbetreibers aus. (K3)
h1.6: Sie prüfen im Team ihre Auswahl auf Konsistenz, nehmen Anpassungen vor und halten die Er-gebnisse fest. (K4)";"Informatikerinnen und Informatiker analysieren die unterschiedlichen Anforderungen an den Betrieb von Applikationen und bestimmen eine geeignete Plattform:
In einem ersten Schritt analysieren sie die vorgegebenen Anforderungen und identifizieren die Abhängigkeiten zwischen den Komponenten (Mikroservices, bestehende SW, APIs/Schnitt-stellen). Darauf definieren sie eine geeignete Plattform für den Betrieb der Applikation (Cloud, On-Premise, Client, Hybrid, Multicloud).
In einem weiteren Schritt definieren sie das Schichtenmodell (SaaS, PaaS, IaaS) innerhalb der Rahmenbedingungen des Stakeholders (z.B. Kosten, Verantwortlichkeit, Umsetzbarkeit). Sie identifizieren die Sicherheitsanforderungen (inkl. Datenschutz) an die Plattform und wählen geeignete Services aus. Sie schätzen die benötigten Ressourcen ab und wählen diese anhand der Empfehlung des Plattformbetreibers aus (Performance, Speicherbedarf, Verfügbarkeit, Kosten, Zugriff; kein Rocketscience). Sie achten dabei auf ökonomische und ökologische Lösun-gen. Abschliessend prüfen sie ihre Auswahl in Zusammenarbeit mit dem Team und/oder dem Stakeholder auf Konsistenz, nehmen allfällig nötige Anpassungen vor und halten die Ergeb-nisse fest.";Appli
h2;Auslieferungsprozess von Applikationen definieren;426, 346, 324;210;"h2.1: Sie analysieren die Abhängigkeit der Komponenten in Bezug auf den Auslieferungsprozess. (K4)
h2.2.: Sie bestimmen geeignete Integrationspraktiken und halten diese fest. (K4)
h2.3: Sie bestimmen geeignete Deployment-Praktiken und halten diese fest. (K4)
h2.4: Sie bestimmen eine geeignete Artefakt-Verwaltung und halten diese fest. (K4)";"Informatikerinnen und Informatiker definieren Auslieferungsprozesse von Applikationen sowie einzusetzende Techniken und Werkzeuge:
Sie orientieren sich bei der Definition der Auslieferungsprozesse am vorliegenden Vorgehensmodell (z.B. Scrum).
Zunächst analysieren sie die Abhängigkeiten zwischen den verschiedenen Komponenten in Bezug auf den Auslieferungsprozess. Sie beachten dabei auch planbare Migrationen (Code First, Datenbankschema) von Daten unter Berücksichtigung der Architektur. Sie bestimmen geeignete Integrationspraktiken (z.B. Git-Flow, Trunk, Continuous Integration) anhand des Applika-tionstyps sowie des gewählten Vorgehensmodells und halten diese fest. Weiter bestimmen sie geeignete Deployment-Praktiken (z.B. Continuous Deployment, Continuous Delivery).
Schliesslich bestimmen sie eine geeignete Artefakt-Verwaltung (z.B. Container Registry.)";Appli
h3;Auslieferungsprozess von Applikationen durchführen;122, 324, 347, 346;335, 190, 210;"h3.1: Sie richten Services für die Auslieferung ein. (K3)
h3.2: Sie schreiben Automatisierungsskripte und definieren Umgebungsvariablen mit geeigneten Methoden und Tools. (K3)
h3.3: Sie stellen Komponenten für die Auslieferung bereit. (K3)
h3.4: Sie paketieren eine Applikation. (K3)
h3.5: Sie verwalten und versionieren Artefakte. (K3)
h3.6: Sie überprüfen den Auslieferungsprozess der Applikation gemäss Vorgaben. (K4)
h3.7: Sie prüfen die Funktionsfähigkeit/das Zusammenspiel der Applikationen anhand eines Test-konzepts. (K4)";"Informatikerinnen und Informatiker führen Auslieferungsprozesse von Applikationen nach Vorgabe durch:
Falls noch nicht vorhanden, erstellen sie zuerst ein Proof of Concept für die gewählte Lösung (→ a3.5). Nun beginnen sie, den definierten Auslieferungsprozess zu implementieren. Sie richten die Services ein, schreiben Automatisierungsskripte und definieren Umgebungsvariablen mit geeigneten Methoden und Tools (z.B. CI/CD Pipeline, CLI, YAML).
Sie stellen Komponenten bereit (Laufzeitumgebung /Services) und paketieren die Applikation (z.B. Docker, Container). Weiter verwalten und versionieren sie die Artefakte. Dabei gehen sie strukturiert vor, überprüfen ihre Arbeit regelmässig auf Fehler und beheben diese.
Zum Schluss überprüfen sie den gesamten Auslieferungsprozess der Applikation gemäss Vorgaben (z.B. Checkliste) und testen die Funktionsfähigkeit / das Zusammenspiel der Applikati-onen anhand eines Testkonzepts (z.B. Integrationstest). Dabei zeigen Sie den Willen und akribisches Vorgehen zur Verbesserung und Optimierung des Auslieferungsprozesses.";Appli
h4;Applikationen und Schnittstellen überwachen und Probleme im laufenden Betrieb beheben;183, 431, 321, 345;187, 110, 109;"h4.1: Sie definieren und konfigurieren Tools für das Monitoring einer Applikation. (K3)
h4.2: Sie führen das Monitoring in regelmässigen Abständen zuverlässig und sorgfältig durch. (K3)
h4.3: Sie analysieren ein auftretendes Problem durch eine strukturierte Vorgehensweise. (K4)
h4.4: Sie überprüfen Aktualität und Sicherheitseinstellungen der Applikationen und Schnittstellen anhand der Herstellerinformationen. (K4)
h4.5: Sie legen ein zielführendes Vorgehen zur Problembehebung fest und besprechen dieses im Team und/oder mit dem Stakeholder. (K5)
h4.6: Sie setzen die vereinbarten Massnahmen um und halten sie verständlich und nachvollziehbar fest. (K3)";"Informatikerinnen und Informatiker überwachen Applikationen und Schnittstellen, treffen Massnahmen zur Erhaltung der Stabilität und beheben falls nötig Probleme im laufenden Betrieb:
Für die Überwachung resp. das Monitoring einer Applikation definieren sie zunächst, was alles aufgezeichnet werden soll (Metriken) und konfigurieren die Systeme entsprechend (Log-Tiefe, Messpunkte). Sie treffen in der Applikation Massnahmen zum frühzeitigen Erkennen von Missbrauch oder Gefahren.
Das Monitoring führen sie in regelmässigen Abständen durch und überprüfen dabei den Zustand der Applikation anhand der aufgezeichneten Informationen. Bei Bedarf führen sie eine Analyse durch, z.B. wenn eine Fehlermeldung durch die Kundin oder den Kunden oder das System vorliegt. Um das Problem einzugrenzen, reproduzieren sie den Fehler. Sie gehen analy-tisch und hartnäckig vor, bis der Fehler eruiert werden kann. Weiter überprüfen sie die Aktualität und Sicherheitseinstellungen der Applikationen und Schnittstellen. Dazu lesen sie regel-mässig die Mitteilungen der Hersteller der verwendeten Frameworks und Dienste.
Aufgrund der Fehleranalyse legen sie ein Vorgehen zur Problembehebung fest und besprechen dieses je nach Auswirkung im Team oder mit dem Stakeholder. Dabei agieren sie voraus-schauend und setzen die definierten Massnahmen rechtzeitig um (z.B. Software Life Cycle: Updates/Patches planen und einspielen, Erneuerung von Sicherheitszertifikaten, Konfigurati-onsanpassungen). Sie halten Probleme und Massnahmen nachvollziehbar fest und ergänzen gegebenenfalls auch die Testfälle.";Appli
